Username,Office Days
yasasrik_metronlabs,0
kapil_metronlabs,1
harshal.karande_metr,2
ganesh.thombare_metr,0
chetan.jagtap_metron,2
shakeel.ahmad_metron,2
rushikesh.bankar_met,0
abhishek.barkade_met,0
ananthreddy.mandli_m,2
SL1-1,1
neel.bafna_metronlab,2
siddharth.sabale_met,0
sunny.kumar_metronla,2
ikrama.shaikh_metron,2
smitarani.panda_metr,0
vishal.khemnar_metro,0
alakesh.kothar_metro,0
omkar.jadhav_metronl,0
tanvi.karale_metronl,0
samarth.ikkalaki_met,2
bharat.kumavat_metro,0
samiksha.patre_metro,2
rohit.dhawale_metron,2
ankita.badgujar_metr,2
fauzan.mullani_metro,0
sachin.indoriya_metr,0
arun.dugane_metronla,2
manthan.sarawade_met,0
nisha.das_metronlabs,0
aditya.inamdar_metro,0
hitesh.ode_metronlab,0
anuja_metronlabs,0
jyotiprakash.panda_m,1
gayatri.chame_metron,0
mahesh.bachhav_metro,1
dhananjay.tayade_met,2
vikram_metronlabs,0
ranganadh.yadlapalli,2
haridas.pawar_metron,1
divya_metronlabs,0
vishnu.soni_metronla,0
gokul.krishnan_metro,0
shrishthi.dixit_metr,0
rupali.waghmare_metr,2
aditya.pharande_metr,0
manish.kumar_metronl,2
shilpa.ramteke_metro,0
sajid.ali_metronlabs,0
pratibha.singh_metro,1
tanuj.sharma_metronl,2
anton.jowin_metronla,1
sarthak.dixit_metron,0
saikrishna.bandapall,0
rakesh.mehto_metronl,0
krishna.balsara_metr,0
sanju.bodra_metronla,2
renuka.sanap_metronl,1
prathamesh.shinde_me,2
harish.nagubadi_metr,2
nikhil.nirwan_metron,2
sanika.shirke_metron,2
prashant.sahu_metron,0
ishika.patidar_metro,0
hitesh.borase_metron,1
retuparnjoshi,1
vishnu.pokharkar_met,2
mayursolunke,0
parag_metronlabs,0
hridayesh.padalkar_m,1
anant.mangalampalli_,0
rushikesh.palav_metr,0
nikhil.nair_metronla,2
vivekanand.mahale_me,0
aastik.yadav_metronl,0
gunjesh.vora_metronl,2
joel,0
nitesh.kumar_metronl,0
aniket.jain_metronla,0
sarath.kumar_metronl,0
devang_metronlabs,2
abdul.deshmukh_metro,0
vaibhavi.kadam_metro,0
charan.adinarayana_m,0
jai.sahu_metronlabs,0
satish.gaddala_metro,0
bhagyashree.mungde_m,0
pratham.sampat1_metr,1
hitesh.wagh_metronla,1
saurabh_metronlabs,0
chanchal.kale_metron,0
vachana.sholapur_met,2
kamlesh.paul_metronl,2
shubham.salunke_metr,2
rohan.chourasia_metr,1
srujan.kachhwaha_met,1
srishti_metronlabs,0
akash.gudase_metronl,0
yuvraj.bansal_metron,0
bhagyashri.bajulge_m,0
shabina_metronlabs,0
shubham.palaskar_met,0
sharad.dubey_metronl,0
anmol.jain_metronlab,0
anita.pohane_metronl,0
rishabh.singh_metron,1
shubham.boke_metronl,0
poornima_metronlabs,0
shivam.kumar_metronl,0
ujjwal.kumar_metronl,0
sameer_metronlabs,0
siddhant.welinkar_me,0
bharat.ghule_metronl,0
kartik.pawade_metron,0
bharat.chaudhary_met,0
yash_metronlabs,0
meghak_metronlabs,0
MalaSingh,0
aditya.muley_metronl,0
purushottam.kamble_m,0
abhijeet_metronlabs,0
bisalranjan.padhan_m,0
ankita_metronlabs,0
shubham_metronlabs,0
anirudh_metronlabs,0
suraj_metronlabs,0
